"Species_name","Parvorder","Confidence","tips","column","value"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","cathemeral"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","cathemeral"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","cathemeral"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","nocturnal/cathemeral"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","nocturnal"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","cathemeral"
"Megaptera novaeangliae","Mysticeti","4,4,4,3,4,4,4,4","Megaptera_novaeangliae","Conf4","nocturnal"
"Mesoplodon bidens","Odontoceti","3,4","Mesoplodon_bidens","Conf3","cathemeral"
"Mesoplodon bidens","Odontoceti","3,4","Mesoplodon_bidens","Conf4","cathemeral"
"Mesoplodon densirostris","Odontoceti","4,4,3,4,3,3","Mesoplodon_densirostris","Conf3","cathemeral"
"Mesoplodon densirostris","Odontoceti","4,4,3,4,3,3","Mesoplodon_densirostris","Conf3","cathemeral"
"Mesoplodon densirostris","Odontoceti","4,4,3,4,3,3","Mesoplodon_densirostris","Conf3","cathemeral"
"Mesoplodon densirostris","Odontoceti","4,4,3,4,3,3","Mesoplodon_densirostris","Conf4","cathemeral"
"Mesoplodon densirostris","Odontoceti","4,4,3,4,3,3","Mesoplodon_densirostris","Conf4","cathemeral"
"Mesoplodon densirostris","Odontoceti","4,4,3,4,3,3","Mesoplodon_densirostris","Conf4","cathemeral"
"Mesoplodon europaeus","Odontoceti","3,3","Mesoplodon_europaeus","Conf3","cathemeral"
"Mesoplodon europaeus","Odontoceti","3,3","Mesoplodon_europaeus","Conf3","cathemeral"
"Mesoplodon ginkgodens","Odontoceti","3, 3","Mesoplodon_ginkgodens","Conf3","nocturnal"
"Mesoplodon ginkgodens","Odontoceti","3, 3","Mesoplodon_ginkgodens","Conf3","nocturnal"
"Mesoplodon hotaula","Odontoceti","3","Mesoplodon_hotaula","Conf3","diurnal"
"Mesoplodon mirus","Odontoceti","3","Mesoplodon_mirus","Conf3","diurnal/crepuscular"
"Mesoplodon stejnegeri","Odontoceti","3,3","Mesoplodon_stejnegeri","Conf3","cathemeral"
"Mesoplodon stejnegeri","Odontoceti","3,3","Mesoplodon_stejnegeri","Conf3","cathemeral"
"Monodon monoceros","Odontoceti","4,4,4,4,3,4,4","Monodon_monoceros","Conf3","diurnal/crepuscular"
"Monodon monoceros","Odontoceti","4,4,4,4,3,4,4","Monodon_monoceros","Conf4","cathemeral"
"Monodon monoceros","Odontoceti","4,4,4,4,3,4,4","Monodon_monoceros","Conf4","cathemeral"
"Monodon monoceros","Odontoceti","4,4,4,4,3,4,4","Monodon_monoceros","Conf4","cathemeral"
"Monodon monoceros","Odontoceti","4,4,4,4,3,4,4","Monodon_monoceros","Conf4","nocturnal/crepuscular"
"Monodon monoceros","Odontoceti","4,4,4,4,3,4,4","Monodon_monoceros","Conf4","cathemeral"
"Neophocaena asiaeorientalis","Odontoceti","3,3,5,2,3,4","Neophocaena_asiaeorientalis","Conf3","nocturnal/crepuscular"
"Neophocaena asiaeorientalis","Odontoceti","3,3,5,2,3,4","Neophocaena_asiaeorientalis","Conf3","nocturnal/crepuscular"
"Neophocaena asiaeorientalis","Odontoceti","3,3,5,2,3,4","Neophocaena_asiaeorientalis","Conf3","nocturnal"
"Neophocaena asiaeorientalis","Odontoceti","3,3,5,2,3,4","Neophocaena_asiaeorientalis","Conf5","diurnal/cathemeral"
"Neophocaena phocaenoides","Odontoceti","3,3,3","Neophocaena_phocaenoides","Conf3","nocturnal/crepuscular"
"Neophocaena phocaenoides","Odontoceti","3,3,3","Neophocaena_phocaenoides","Conf3","nocturnal"
"Neophocaena phocaenoides","Odontoceti","3,3,3","Neophocaena_phocaenoides","Conf3","nocturnal/cathemeral"
"Neophocaena sunameri","Odontoceti","3,3,3","Neophocaena_sunameri","Conf3","diurnal/cathemeral"
"Neophocaena sunameri","Odontoceti","3,3,3","Neophocaena_sunameri","Conf3","diurnal"
"Neophocaena sunameri","Odontoceti","3,3,3","Neophocaena_sunameri","Conf3","diurnal"
"Orcaella brevirostris","Odontoceti","2,2,3,3,2,3","Orcaella_brevirostris","Conf2","unclear/crepuscular"
"Orcaella brevirostris","Odontoceti","2,2,3,3,2,3","Orcaella_brevirostris","Conf2","unclear/crepuscular"
